year,date,transect,grd,wetype,basin_no,species,pairs,lonedrake,flockdrake,groups,region,p_species
1973,3,24,4,1,3,35,2,0,0,0,1,5
1973,3,24,4,5,5,32,1,0,0,0,1,1
1973,3,24,4,5,6,32,2,0,0,0,1,1
1973,3,24,4,5,7,42,1,0,0,0,1,5
1973,3,24,4,1,8,32,0,2,0,67,1,1
1973,3,24,4,1,8,35,0,0,0,82,1,5
1973,3,24,4,1,8,43,0,0,0,66,1,5
1973,3,24,4,1,9,40,2,0,0,0,1,2
1973,3,24,4,3,10,42,0,1,0,0,1,5
1973,3,24,4,3,10,35,1,0,0,0,1,5
1973,3,24,1,0,11,40,1,0,0,0,1,2
1973,3,24,1,1,12,40,1,0,0,0,1,2
1973,3,24,1,1,13,40,2,0,0,0,1,2
1973,4,24,2,0,15,40,0,1,0,0,1,2
1973,4,24,2,1,16,32,0,1,0,0,1,1
1973,14,25,4,5,1,32,0,1,0,0,1,1
1973,14,25,4,5,2,50,0,0,0,5,1,5
1973,14,25,4,5,3,50,2,0,0,0,1,5
1973,14,25,4,5,4,32,0,1,0,0,1,1
1973,14,25,1,0,5,40,1,0,0,0,1,2
1973,14,25,1,5,6,32,0,2,0,0,1,1
1973,14,25,1,5,6,42,0,1,0,0,1,5
1973,17,25,2,3,11,32,0,2,0,0,1,1
1973,17,25,2,3,11,44,0,3,0,0,1,3
1973,17,25,2,3,12,40,1,0,0,0,1,2
1973,17,25,2,3,13,40,1,0,0,0,1,2
1973,17,25,2,4,16,40,1,0,0,0,1,2
1973,3,26,4,1,1,32,1,0,0,0,1,1
1973,3,26,4,1,1,40,1,0,0,0,1,2
1973,3,26,4,2,2,40,1,0,0,0,1,2
1973,3,26,4,3,3,32,1,0,0,0,1,1
1973,3,26,4,3,4,40,4,0,0,0,1,2
1973,3,26,4,7,7,32,0,1,0,0,1,1
1973,3,26,4,1,8,32,0,2,0,0,1,1
1973,3,26,4,1,9,42,1,0,0,0,1,5
1973,3,26,4,2,10,32,1,0,0,0,1,1
1973,3,26,4,3,11,40,1,0,0,0,1,2
1973,3,26,4,3,11,42,2,0,0,0,1,5
1973,3,26,4,5,12,43,1,0,0,0,1,5
1973,9,27,4,0,1,40,1,0,0,0,1,2
1973,9,27,4,0,2,40,1,0,0,0,1,2
1973,9,27,4,1,3,40,1,0,0,0,1,2
1973,9,27,4,5,7,67,0,0,0,7,1,5
1973,9,27,4,5,10,32,0,2,0,0,1,1
1973,9,27,4,5,10,40,1,0,0,0,1,2
1973,9,27,4,5,11,32,0,4,0,0,1,1
1973,9,27,4,5,12,40,0,1,0,0,1,2
1973,9,27,4,5,13,40,1,1,0,0,1,2
1973,9,27,4,5,13,43,1,1,0,0,1,5
1973,9,27,4,5,14,49,0,0,0,8,1,9
1973,9,27,4,5,15,49,0,1,0,0,1,9
1973,9,27,4,5,16,49,0,1,0,0,1,9
1973,9,27,4,5,17,49,0,1,0,0,1,9
1973,9,27,4,5,18,49,0,1,0,0,1,9
1973,9,27,4,5,19,49,1,1,0,0,1,9
1973,9,27,4,5,20,49,1,1,0,0,1,9
1973,9,27,4,5,21,49,1,1,0,0,1,9
1973,9,27,4,5,22,49,2,0,0,0,1,9
1973,9,27,4,5,23,50,0,0,0,6,1,5
1973,9,27,4,5,23,49,0,0,0,8,1,9
1973,9,27,4,5,23,67,1,0,0,0,1,5
1973,9,27,4,5,24,67,1,1,0,0,1,5
1973,9,27,4,7,25,40,1,0,0,0,1,2
1973,9,27,4,10,26,32,0,3,0,0,1,1
1973,9,27,4,1,27,40,0,0,0,25,1,2
1973,9,27,4,2,29,32,0,2,0,0,1,1
1973,9,27,4,2,30,32,0,2,0,0,1,1
1973,9,27,4,2,31,40,0,1,0,0,1,2
1973,9,27,4,3,32,32,0,1,0,0,1,1
1973,9,27,4,3,33,40,0,1,0,0,1,2
1973,9,27,4,5,35,32,0,3,0,0,1,1
1973,9,27,4,5,35,51,0,1,0,0,1,5
1973,9,27,4,5,35,49,10,0,0,28,1,9
1973,9,27,4,5,35,67,2,0,5,40,1,5
1973,9,27,4,5,36,49,0,1,0,0,1,9
1973,14,28,4,3,2,32,0,0,0,0,1,1
1973,14,28,4,4,3,32,0,1,0,0,1,1
1973,14,28,4,4,4,32,0,1,0,0,1,1
1973,14,28,4,4,5,40,0,1,0,0,1,2
1973,14,28,4,3,7,32,0,1,0,0,1,1
1973,14,28,4,5,9,32,0,1,0,0,1,1
1973,14,29,4,2,1,40,1,0,0,0,1,2
1973,14,29,1,1,5,32,1,0,0,0,1,1
1973,16,29,2,1,26,40,0,1,0,0,1,2
1973,16,29,2,2,41,40,1,0,0,0,1,2
1973,16,29,2,4,45,40,1,0,0,0,1,2
1973,17,30,4,2,1,32,0,1,0,0,2,1
1973,17,30,4,3,2,32,0,2,0,0,2,1
1973,17,30,4,3,3,40,0,1,0,0,2,2
1973,17,30,4,3,4,40,0,1,0,0,2,2
1973,17,30,4,5,5,32,1,0,0,0,2,1
1973,17,30,4,5,6,40,1,0,0,0,2,2
1973,17,30,4,5,7,40,2,0,0,0,2,2
1973,17,30,4,5,8,50,0,0,0,6,2,5
1973,17,30,4,3,11,32,1,0,0,0,2,1
1973,17,30,4,3,12,40,0,1,0,0,2,2
1973,17,30,4,5,13,40,0,1,0,0,2,2
1973,23,31,4,1,3,32,0,1,0,0,2,1
1973,23,31,4,5,4,32,1,0,0,0,2,1
1973,17,32,1,5,1,32,1,0,0,0,2,1
1973,17,32,1,5,2,32,1,0,0,0,2,1
1973,23,34,4,5,1,32,0,2,0,0,2,1
1973,23,34,4,5,2,32,0,3,0,0,2,1
1973,23,34,4,1,3,32,0,0,5,0,2,1
1973,23,34,4,1,3,33,1,0,0,0,2,5
1973,17,35,4,5,3,32,0,2,0,0,2,1
1973,17,35,1,5,5,32,0,1,0,0,2,1
1973,17,35,1,5,6,49,1,3,0,0,2,9
1973,17,35,1,2,7,32,0,2,0,0,2,1
1973,17,35,1,3,8,32,1,0,0,0,2,1
1973,17,35,1,3,9,40,0,1,0,0,2,2
1973,21,35,2,0,11,32,0,0,0,0,2,1
1973,17,36,4,5,1,32,0,1,0,0,2,1
1973,17,36,4,5,2,72,1,0,0,0,2,4
1973,17,36,4,9,3,32,0,2,0,0,2,1
1973,16,40,4,3,1,32,0,2,0,0,2,1
1973,16,40,4,1,2,40,0,1,0,0,2,2
1973,16,40,4,5,3,40,0,1,0,0,2,2
