species,mean,sd,lcl,ucl,median,year,n
other ducks,37604.4143677705,11373.403061236451,20344.380960252343,64717.92091057997,35998.82923673861,1999,29869
other ducks,41964.74064851941,12383.545652780611,23087.171993982225,70412.1582629556,40188.896608599345,2000,31191
other ducks,57292.283135124664,15469.004172162342,33364.75452068881,93498.01759849917,55179.40324905681,2001,48312
other ducks,92527.29872292344,30631.39852969255,48950.764971134835,166669.79925544458,86953.8843932543,2002,161087
other ducks,81107.0145589716,22042.98294299044,46943.65883584739,132807.98329570022,77945.65510134581,2003,71888
other ducks,84432.3856593404,23129.966332670076,48136.92176880088,137968.4938603059,81755.11171280712,2004,94014
other ducks,76310.66298135395,20147.234909669896,44210.65112212875,122876.8044874823,73662.60287602016,2005,70655
other ducks,74192.73158900463,19487.248487727236,42931.464867340736,117865.08496810238,71613.7649962538,2006,72726
other ducks,69285.69285323413,19350.413211665484,39460.12648886401,114385.60929253366,66639.11478940707,2007,48427
other ducks,90142.5404896199,25773.63345313196,49735.85076162226,149259.89146704314,86351.71176204357,2008,132506
other ducks,75503.64661317346,20378.007398404174,42567.513189804544,121148.60143171185,73080.1745139815,2009,75602
other ducks,61806.29123587918,20168.41387205259,31214.08371245381,108543.8217539627,59264.22160545946,2010,32757
other ducks,85251.08003023171,23085.319766539134,48497.843708729946,136858.76734967218,82565.29716111562,2011,88610
other ducks,105194.26320983502,28280.74512245852,59948.81930598159,169524.50852513174,102239.0421367902,2012,111712
other ducks,127549.10215855534,39403.68721696751,67784.44021102006,216915.1932561655,121133.4514984801,2013,181141
other ducks,103834.41088961584,28040.31991025619,60228.94953174688,168683.0563182071,99981.49059588664,2014,97875
other ducks,90599.56627242792,25044.83636113961,50911.99149992521,150801.54401449207,87060.46371098005,2015,69415
other ducks,96501.27992160022,26076.34917567982,55080.81681677553,155197.21035158512,93275.9064304104,2016,98640
other ducks,96438.97981628797,25877.896547014705,55030.51362824781,155374.38059794944,93804.54881807031,2017,110246
other ducks,82519.90811769888,23369.89971274737,45820.373740548224,136998.61852188982,79052.83165476727,2018,77560
other ducks,72320.8438588407,23413.61303423856,38658.16530144385,127758.04227670554,68269.19025727644,2019,47392
other ducks,90779.62889484178,37195.89577658284,39144.39106046536,182309.3099050668,84416.64214410454,2020,NA
other ducks,106879.34508382546,39241.2036801641,49782.871822786125,203000.86443709777,101444.73606802114,2021,122036
total ducks,406734.8790522348,56890.881178383075,306641.9788128676,525762.2603365044,402851.3376737529,1973,412706
total ducks,406663.57975209306,51805.53427256996,315668.3413834705,518459.85580528795,403436.9302278112,1974,435182
total ducks,392036.7587660546,47001.92734675739,308316.7471633497,491976.2549372274,388073.4913339091,1975,426878
total ducks,363094.8908040727,40973.620851433756,288894.29376169655,450009.5141633031,359859.6235607508,1976,379526
total ducks,330375.4068423575,36802.2515769208,265786.0239273975,408376.6958474161,327593.03555211774,1977,323280
total ducks,301965.38439834927,34121.93159603572,239687.96744639231,371958.6652802277,299702.01320811745,1978,271348
total ducks,290523.25095032423,33524.466147080806,228755.30946827374,359019.43628714036,289606.41989813047,1979,265730
total ducks,289690.1246962849,32995.831255072204,229882.07419870462,360369.8895081184,288159.28787922184,1980,248073
total ducks,315864.1619562152,41941.198661140144,246045.73250140488,410330.36532197223,312019.8244520271,1981,505038
total ducks,260605.8869633197,30497.946532717484,205605.28932723356,324145.8581076239,259245.1498430653,1982,218718
total ducks,238314.2659035602,30787.7545192049,182074.27340036613,304026.3027928426,236608.2697612908,1983,202296
total ducks,235319.53057085606,30520.895583416226,180300.5573075715,300862.11651896,234060.29604324806,1984,209995
total ducks,240978.63194903216,31113.010715732275,184180.41329334848,306474.71104440757,239060.30623735164,1985,192794
total ducks,276500.6275698648,31839.078918203795,218867.36872306003,344837.53424602235,274515.9665978472,1986,262013
total ducks,322691.8403847712,37683.01866288287,256300.5524330493,404735.3109285501,320305.57928201,1987,389835
total ducks,334667.04810354824,37342.575531035516,267295.79900905804,415376.7438858781,332567.799887244,1988,287074
total ducks,383013.39661780145,43831.51590003288,307496.2159916455,477678.53293291776,379817.20416365797,1989,462513
total ducks,389236.63610247767,43862.46379701214,310020.0230834205,482268.4467665448,386917.9180558318,1990,328630
total ducks,437422.94408536656,49068.67349400505,349824.5500638865,541245.1688067015,433442.89608789794,1991,435781
total ducks,500329.836013901,63989.85225951044,390119.97104283824,640471.3629568792,496914.3998102571,1992,683804
total ducks,473647.48451287224,54353.03276066118,376091.9483378935,590610.1213380628,470733.6245578757,1993,379371
total ducks,514992.93472974835,59186.9750258236,409523.34510123177,645385.3445491677,511592.32992709323,1994,571229
total ducks,527158.7246783859,62247.45298338854,419011.8211922596,657880.9777744077,522954.54616001935,1995,592419
total ducks,507847.37044570537,58159.808281845464,403711.3056315583,629965.1864817326,504074.5404092452,1996,536305
total ducks,473413.12984440825,54711.945167300284,373259.25593005016,589044.878570682,470300.50146542507,1997,409313
total ducks,476091.0860038779,54816.778287017216,375883.49471769505,589198.5899918921,473019.36223561375,1998,412798
total ducks,512483.35650849575,56124.25891700229,408144.60022085236,626517.7473176022,509811.5037359481,1999,476631
total ducks,574371.9618641046,69269.38773334054,454217.82486072776,727375.4061019638,567916.9305348771,2000,744390
total ducks,551408.4187891468,62658.1406922432,439596.2267480567,683035.3180042943,549034.7089810946,2001,440126
total ducks,602932.6779497556,70012.19402595138,475361.4092469818,746751.3626874422,598232.6591045975,2002,740791
total ducks,588351.1666773761,65902.18554103923,471951.5898633489,723216.8845033487,583441.4263064298,2003,533465
total ducks,609798.8542646049,69654.25958940743,490590.2149844714,760816.449425993,605080.2722452832,2004,651494
total ducks,614364.8383301203,72536.93403246062,487150.48382929363,767551.9443453737,609144.6146263069,2005,724270
total ducks,560067.7008758346,61768.93820733973,450275.51505609794,694065.9897328535,555890.3458309716,2006,522571
total ducks,533410.3716104289,61464.85857038799,423094.9898372611,663608.476801906,530324.3923829035,2007,470614
total ducks,542638.7301053776,61986.86017896361,430960.19185163,673039.0280870941,538331.9010099228,2008,626924
total ducks,505147.300759268,57772.259193000966,402890.4254989399,627756.1812256266,500339.2991933957,2009,502416
total ducks,471212.0010063421,54269.98242774576,369192.40477511176,583673.9231136083,469049.0287696688,2010,385821
total ducks,489758.12450347154,54047.01120435883,390483.7275719108,606719.0433184482,487000.5558344334,2011,513746
total ducks,491924.5567127322,55833.305397462114,387788.24916093744,608036.1880206078,488639.1528760798,2012,521079
total ducks,477783.3985353588,54561.4845283758,376365.2423097506,593623.38241149,475989.3759988026,2013,527340
total ducks,437058.18208091735,49480.58415524128,346052.69461485493,541348.4445433491,435025.7561487466,2014,395099
total ducks,420471.4927748462,48327.95486581728,330594.3471643156,520453.60693157034,418327.01528700086,2015,372840
total ducks,426797.96411638503,48980.26954719054,339759.74128039676,529886.4653673914,424063.88094181044,2016,390498
total ducks,449714.9625698598,50893.17422243415,357226.6269014315,558179.4683956801,446422.88502003346,2017,479099
total ducks,452932.7102318099,52198.72943298255,360570.29367463675,566591.7865214322,450076.54557648697,2018,439397
total ducks,458971.44217337464,56969.78076703732,359658.3457951624,579438.0782658503,454394.7497454203,2019,413661
total ducks,494046.33715130255,77992.5381590313,359819.45588271867,664715.515027728,486559.21285754803,2020,NA
total ducks,527766.2510798264,82380.58095945849,387345.8436786501,708325.1358559236,520476.94058671664,2021,584958
wood duck,9555.030543140647,2865.548155607904,5818.290428127553,16637.107484238353,8967.754588024185,1973,6636
wood duck,15018.106644515176,2791.8809414754314,10021.79873241004,21285.506311693083,14900.860882563658,1974,15442
wood duck,21701.90983086969,4525.311608266617,13972.508813654707,30592.0646022599,21419.02079736963,1975,26520
wood duck,23541.977183773426,4492.548211434936,15867.725584210488,33183.7687578993,23371.255742529385,1976,26164
wood duck,22107.32531343238,3960.9940768457627,15399.306515692457,31010.12355144326,21607.253455809063,1977,21475
wood duck,21370.257287091146,4168.749175853029,14943.040633313376,30813.320925731645,20814.18305515845,1978,17811
wood duck,27560.99014764724,5232.499723386801,18370.13889868733,38612.1485187688,27258.401591854556,1979,31697
wood duck,27956.620020989692,5239.0489627303705,18647.40914898849,39559.08910000927,27971.109191210344,1980,29261
wood duck,28808.59976551057,6611.268934984022,18368.273780364292,42118.43372696831,27666.371394566693,1981,40817
wood duck,15850.412713730764,4883.756940179929,9193.498251985591,27219.083621060854,15109.382210270833,1982,9524
wood duck,16373.181420401754,5075.9582812220215,9746.080982398767,28410.257088637303,15319.38014563394,1983,10642
wood duck,26363.907396919192,4780.78058944801,18222.803722571105,36754.23760533203,26086.53287592168,1984,28294
wood duck,32761.99509309187,6408.960188560927,23054.496605769105,46404.60115632144,32062.449544720454,1985,25757
wood duck,62064.798766205735,14603.211408438676,38028.74644117796,91090.14898490741,60834.44974080665,1986,82747
wood duck,75700.13057418732,17884.274154930463,44881.753269848334,110438.64929589043,74159.71617605396,1987,98349
wood duck,61572.996829011354,11330.357263640999,42774.63576265805,86970.97143427542,59923.37050488116,1988,54260
wood duck,63794.45525574752,11333.613953657374,44864.885283917865,90439.38709638198,62169.671340125424,1989,59676
wood duck,69648.10640402771,12303.549655192819,48332.63106865211,97205.46031860582,67924.92118276023,1990,67065
wood duck,77332.09374454744,13957.778818345452,53678.785637568195,108572.64836763522,75583.20629597227,1991,69349
wood duck,106522.57945211396,24412.690672864905,66810.5973984189,155109.25896536376,103382.3040584209,1992,145118
wood duck,83882.55808608618,15342.89219039679,58929.074027366936,118441.97805801696,81776.09597620033,1993,73866
wood duck,81246.90055728634,16940.23822421006,55511.62849882044,119136.75551554436,78811.88855560133,1994,63078
wood duck,115695.83112056096,24484.37894946284,74702.9811964865,163879.75513758798,113249.33883709594,1995,153658
wood duck,95027.64350832862,18592.521170442356,66181.16806331725,136927.944386602,92294.12563454497,1996,76475
wood duck,113260.4176727526,20041.917986947716,78548.24658967534,159159.00420629882,112556.93461419697,1997,119410
wood duck,119293.88437570173,21097.83389338022,82384.57456136239,165307.39900154024,118425.29573133643,1998,121713
wood duck,119995.5175074117,21741.708347847518,83238.32739506819,170132.34719447032,116753.03816852941,1999,113898
wood duck,133321.30220709526,24012.4845405023,90422.04695499575,187007.45307778026,132839.8953689647,2000,141882
wood duck,131305.83999256906,23122.798347153257,90081.69882605705,184261.93025329072,130282.4036808706,2001,131051
wood duck,130368.2188668352,23214.123752331183,91130.76763149958,181458.31469555513,129074.16811188954,2002,135129
wood duck,119325.55821927273,21270.714248488224,83721.88892383619,166710.6435679085,116066.07596066107,2003,110109
wood duck,120719.47482386783,21713.724197727402,83700.95083965392,171131.65316863434,117572.24359328784,2004,114550
wood duck,129883.36709129189,23073.962414037356,87983.08148245123,180276.97109765993,129353.08991413204,2005,141152
wood duck,119982.97152178119,21400.82918354818,82661.79860815968,168965.7149620931,118854.32894994089,2006,121650
wood duck,105077.35431468085,20687.539467497994,72648.94008125678,154476.6406907263,101994.47648533956,2007,87875
wood duck,119226.48940268632,20919.7422768047,82742.17482369192,165223.0912448354,118090.65528347898,2008,126440
